,fname,class_name,height,width,xmin,ymin,xmax,ymax
0,../Data/Images/british_shorthair/British_Shorthair_10.jpg,british_shorthair,233.0,350.0,83.0,29.0,197.0,142.0
1,../Data/Images/german_shorthaired/german_shorthaired_119.jpg,german_shorthaired,500.0,500.0,128.0,22.0,240.0,222.0
2,../Data/Images/english_setter/english_setter_158.jpg,english_setter,333.0,500.0,97.0,35.0,304.0,199.0
3,../Data/Images/siamese/Siamese_178.jpg,siamese,500.0,400.0,32.0,18.0,363.0,369.0
4,../Data/Images/pomeranian/pomeranian_162.jpg,pomeranian,222.0,300.0,19.0,32.0,123.0,129.0
5,../Data/Images/newfoundland/newfoundland_137.jpg,newfoundland,500.0,333.0,105.0,30.0,362.0,286.0
6,../Data/Images/siamese/Siamese_150.jpg,siamese,500.0,333.0,300.0,2.0,489.0,204.0
7,../Data/Images/german_shorthaired/german_shorthaired_131.jpg,german_shorthaired,500.0,375.0,90.0,209.0,246.0,357.0
8,../Data/Images/english_setter/english_setter_170.jpg,english_setter,500.0,375.0,214.0,67.0,337.0,217.0
9,../Data/Images/english_setter/english_setter_164.jpg,english_setter,500.0,375.0,178.0,127.0,307.0,294.0
10,../Data/Images/german_shorthaired/german_shorthaired_125.jpg,german_shorthaired,500.0,375.0,157.0,56.0,264.0,116.0
11,../Data/Images/siamese/Siamese_144.jpg,siamese,500.0,335.0,160.0,21.0,340.0,230.0
12,../Data/Images/pomeranian/pomeranian_176.jpg,pomeranian,300.0,225.0,101.0,22.0,183.0,122.0
13,../Data/Images/newfoundland/newfoundland_123.jpg,newfoundland,500.0,333.0,263.0,67.0,358.0,164.0
14,../Data/Images/saint_bernard/saint_bernard_111.jpg,saint_bernard,500.0,426.0,182.0,95.0,274.0,171.0
15,../Data/Images/scottish_terrier/scottish_terrier_132.jpg,scottish_terrier,500.0,375.0,111.0,14.0,275.0,254.0
16,../Data/Images/scottish_terrier/scottish_terrier_126.jpg,scottish_terrier,500.0,375.0,181.0,1.0,386.0,173.0
17,../Data/Images/saint_bernard/saint_bernard_105.jpg,saint_bernard,500.0,375.0,160.0,176.0,456.0,357.0
18,../Data/Images/pomeranian/pomeranian_189.jpg,pomeranian,300.0,225.0,97.0,21.0,173.0,102.0
19,../Data/Images/basset_hound/basset_hound_112.jpg,basset_hound,374.0,500.0,129.0,146.0,314.0,321.0
20,../Data/Images/siamese/Siamese_193.jpg,siamese,333.0,500.0,125.0,68.0,282.0,236.0
21,../Data/Images/birman/Birman_167.jpg,birman,500.0,375.0,192.0,63.0,314.0,176.0
22,../Data/Images/shiba_inu/shiba_inu_122.jpg,shiba_inu,327.0,500.0,30.0,81.0,250.0,343.0
23,../Data/Images/egyptian_mau/Egyptian_Mau_173.jpg,egyptian_mau,280.0,210.0,157.0,13.0,219.0,69.0
24,../Data/Images/saint_bernard/saint_bernard_139.jpg,saint_bernard,333.0,500.0,95.0,161.0,188.0,239.0
25,../Data/Images/birman/Birman_173.jpg,birman,500.0,333.0,207.0,6.0,314.0,112.0
26,../Data/Images/shiba_inu/shiba_inu_136.jpg,shiba_inu,500.0,375.0,139.0,106.0,228.0,216.0
27,../Data/Images/basset_hound/basset_hound_106.jpg,basset_hound,500.0,357.0,203.0,118.0,292.0,217.0
28,../Data/Images/siamese/Siamese_187.jpg,siamese,500.0,375.0,79.0,42.0,241.0,232.0
29,../Data/Images/ragdoll/Ragdoll_162.jpg,ragdoll,500.0,375.0,205.0,127.0,295.0,211.0
30,../Data/Images/ragdoll/Ragdoll_176.jpg,ragdoll,500.0,307.0,324.0,69.0,408.0,161.0
31,../Data/Images/american_pit_bull_terrier/american_pit_bull_terrier_166.jpg,american_pit_bull_terrier,300.0,225.0,81.0,52.0,183.0,163.0
32,../Data/Images/boxer/boxer_184.jpg,boxer,500.0,291.0,100.0,91.0,270.0,202.0
33,../Data/Images/boxer/boxer_190.jpg,boxer,500.0,333.0,93.0,16.0,409.0,327.0
34,../Data/Images/american_pit_bull_terrier/american_pit_bull_terrier_172.jpg,american_pit_bull_terrier,239.0,300.0,47.0,103.0,198.0,224.0
35,../Data/Images/havanese/havanese_113.jpg,havanese,500.0,375.0,78.0,66.0,291.0,227.0
36,../Data/Images/maine_coon/Maine_Coon_10.jpg,maine_coon,600.0,900.0,97.0,78.0,430.0,454.0
37,../Data/Images/havanese/havanese_107.jpg,havanese,333.0,500.0,34.0,80.0,312.0,319.0
38,../Data/Images/boxer/boxer_147.jpg,boxer,500.0,375.0,91.0,1.0,370.0,332.0
39,../Data/Images/great_pyrenees/great_pyrenees_167.jpg,great_pyrenees,500.0,375.0,297.0,28.0,397.0,120.0
40,../Data/Images/leonberger/leonberger_123.jpg,leonberger,500.0,403.0,19.0,24.0,134.0,111.0
41,../Data/Images/leonberger/leonberger_137.jpg,leonberger,500.0,333.0,102.0,28.0,405.0,297.0
42,../Data/Images/ragdoll/Ragdoll_189.jpg,ragdoll,425.0,319.0,120.0,11.0,250.0,150.0
43,../Data/Images/english_cocker_spaniel/english_cocker_spaniel_11.jpg,english_cocker_spaniel,500.0,375.0,125.0,12.0,428.0,344.0
44,../Data/Images/boxer/boxer_153.jpg,boxer,500.0,300.0,117.0,1.0,347.0,251.0
45,../Data/Images/great_pyrenees/great_pyrenees_173.jpg,great_pyrenees,500.0,357.0,103.0,36.0,194.0,120.0
